Name,Phone,Website,Rating,Reviews,Address,Email,Instagram,Facebook,SEO Score,Screenshot,SEO Issues
Mrizi i Zanave Tirane,+355676916596,mriziizanave.al,4.8,1846,"Bulevardi Zhan D Ark, Tiranë 1017، ألبانيا",mrizitirane@gmail.com,,,80,/screenshots/mrizi_i_zanave_tirane_1785759408.png,Missing Meta Description
Rossini Restaurant Tirana,+355694662397,rossinirestaurantalbania.com,4.9,410,"Rruga Papa Gjon Pali II 5, Tiranë, ألبانيا",reservation@rossinirestaurantalbania.com,,,85,/screenshots/rossini_restaurant_tirana_1785759423.png,"Suboptimal Meta Description Length, Multiple H1 Tags"
Artigiano at Vila,+355676000480,artigiano.al,4.7,5719,"Rruga Papa Gjon Pali II 9, Tiranë 1001، ألبانيا",info@artigiano.com,,,100,/screenshots/artigiano_at_vila_1785759441.png,Perfect SEO Basics
Salt Tirana,+355694000013,salt.al,4.5,2089,"Rruga Pjetër Bogdani, Tiranë 1001، ألبانيا",,,,75,/screenshots/salt_tirana_1785759449.png,"Suboptimal Meta Description Length, Missing H1 Tag"
Odas Garden,+355692040145,odagardenrestaurant.eu,4.6,7226,"Rruga Shenasi Dishnica, Tiranë, ألبانيا",,,,85,/screenshots/odas_garden_1785759460.png,Missing H1 Tag
EJA RESTAURANT,,,4.9,2031,"Rruga Gjin Bue Shpata, Tiranë 1001، ألبانيا",,,,0,,
Butter Restaurant Tirana,+355692077440,,5.0,87,"Rruga Brigada VIII, Tiranë 1019، ألبانيا",,,,0,,
Makamona Restaurant,+355692110900,,4.7,1778,"Rruga Reshit Collaku, Shk.18, Kati 1, Bodrum, Tiranë 1001، ألبانيا",,,,0,,
Restorant Tymi,+355697268387,,4.7,4453,"Rruga E Kavajës, Tiranë, ألبانيا",,,https://www.facebook.com/TymiVerReci/,0,,Social Profile
Artigiano Restaurant,+355692092798,artigiano.al,4.6,4490,"Kryqezimi i Librit Universitar, Rruga Abdyl Frashëri, Tiranë, ألبانيا",info@artigiano.com,,,100,/screenshots/artigiano_restaurant_1785759478.png,Perfect SEO Basics
